,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Unkn,048-1,1541.67748307848,,Unknown,Unassigned,False
,A02,SYBR,,Unkn,048-2,1731.54748685926,,Unknown,Unassigned,False
,A03,SYBR,,Unkn,014-1,1638.21936965881,,Unknown,Unassigned,False
,A04,SYBR,,Unkn,014-2,1548.59577554284,,Unknown,Unassigned,False
,A05,SYBR,,Unkn,014-3,1786.58401807996,,Unknown,Unassigned,False
,A06,SYBR,,Unkn,007-1,1266.03756587653,,Unknown,Unassigned,False
,A07,SYBR,,Unkn,007-2,1290.86685175976,,Unknown,Unassigned,False
,A08,SYBR,,Unkn,007-3,1137.07196796357,,Unknown,Unassigned,False
,A09,SYBR,,Unkn,007-4,1331.0111047776,,Unknown,Unassigned,False
,A10,SYBR,,Unkn,007-5,1149.17931896993,,Unknown,Unassigned,False
,A11,SYBR,,Unkn,008-1,1464.11455756763,,Unknown,Unassigned,False
,A12,SYBR,,Unkn,008-2,1497.96600396316,,Unknown,Unassigned,False
,B01,SYBR,,Unkn,008-3,1493.56110941042,,Unknown,Unassigned,False
,B02,SYBR,,Unkn,008-4,1444.29365663536,,Unknown,Unassigned,False
,B03,SYBR,,Unkn,008-5,1424.48187582826,,Unknown,Unassigned,False
,B04,SYBR,,Unkn,011-1,1886.58500261049,,Unknown,Unassigned,False
,B05,SYBR,,Unkn,011-2,1762.90873081381,,Unknown,Unassigned,False
,B06,SYBR,,Unkn,011-3,1952.7006197788,,Unknown,Unassigned,False
,B07,SYBR,,Unkn,011-4,1912.54138923315,,Unknown,Unassigned,False
,B08,SYBR,,Unkn,011-5,1657.0919308316,,Unknown,Unassigned,False
,B09,SYBR,,Unkn,026-1,1401.4717137845,,Unknown,Unassigned,False
,B10,SYBR,,Unkn,026-2,1297.10860986649,,Unknown,Unassigned,False
,B11,SYBR,,Unkn,026-3,1372.84314791991,,Unknown,Unassigned,False
,B12,SYBR,,Unkn,026-4,1523.88132463343,,Unknown,Unassigned,False
,C01,SYBR,,Unkn,026-5,1313.0191479711,,Unknown,Unassigned,False
,C02,SYBR,,Unkn,028-1,1245.23133255315,,Unknown,Unassigned,False
,C03,SYBR,,Unkn,028-2,1408.33234010233,,Unknown,Unassigned,False
,C04,SYBR,,Unkn,028-3,1064.85909614802,,Unknown,Unassigned,False
,C05,SYBR,,Unkn,028-4,965.12872456237,,Unknown,Unassigned,False
,C06,SYBR,,Unkn,028-5,1269.57769442899,,Unknown,Unassigned,False
,C07,SYBR,,Unkn,030-1,1347.20411896387,,Unknown,Unassigned,False
,C08,SYBR,,Unkn,030-2,1388.10653794915,,Unknown,Unassigned,False
,C09,SYBR,,Unkn,030-3,1368.63045061396,,Unknown,Unassigned,False
,C10,SYBR,,Unkn,030-4,1526.24048161156,,Unknown,Unassigned,False
,C11,SYBR,,Unkn,030-5,1554.477644448,,Unknown,Unassigned,False
,C12,SYBR,,Unkn,034-1,1616.57575992332,,Unknown,Unassigned,False
,D01,SYBR,,Unkn,034-2,1453.44358146631,,Unknown,Unassigned,False
,D02,SYBR,,Unkn,034-3,1441.43582627418,,Unknown,Unassigned,False
,D03,SYBR,,Unkn,034-4,1274.29280103833,,Unknown,Unassigned,False
,D04,SYBR,,Unkn,034-5,1263.58944615187,,Unknown,Unassigned,False
,D05,SYBR,,Unkn,051-1,1165.8510221362,,Unknown,Unassigned,False
,D06,SYBR,,Unkn,051-2,1115.02068091766,,Unknown,Unassigned,False
,D07,SYBR,,Unkn,051-3,1286.69665955225,,Unknown,Unassigned,False
,D08,SYBR,,Unkn,051-4,1308.04908410953,,Unknown,Unassigned,False
,D09,SYBR,,Unkn,051-5,973.164963978224,,Unknown,Unassigned,False
,D10,SYBR,,Unkn,056-1,1394.27935225252,,Unknown,Unassigned,False
,D11,SYBR,,Unkn,056-2,1615.68753068663,,Unknown,Unassigned,False
,D12,SYBR,,Unkn,056-3,1541.24534822031,,Unknown,Unassigned,False
,E01,SYBR,,Unkn,056-4,1371.4135995788,,Unknown,Unassigned,False
,E02,SYBR,,Unkn,056-5,1206.15100734936,,Unknown,Unassigned,False
,E03,SYBR,,Unkn,059-1,976.970231563792,,Unknown,Unassigned,False
,E04,SYBR,,Unkn,059-2,1188.31396252817,,Unknown,Unassigned,False
,E05,SYBR,,Unkn,059-3,1397.41063942424,,Unknown,Unassigned,False
,E06,SYBR,,Unkn,059-4,1398.17603920606,,Unknown,Unassigned,False
,E07,SYBR,,Unkn,059-5,1348.3603504172,,Unknown,Unassigned,False
,E08,SYBR,,Unkn,086-1,1166.74269546192,,Unknown,Unassigned,False
,E09,SYBR,,Unkn,086-2,1084.08239860176,,Unknown,Unassigned,False
,E10,SYBR,,Unkn,086-3,1132.01211253781,,Unknown,Unassigned,False
,E11,SYBR,,Unkn,086-4,1249.96371019124,,Unknown,Unassigned,False
,E12,SYBR,,Unkn,086-5,1268.42281305344,,Unknown,Unassigned,False
,F01,SYBR,,Unkn,087-1,1567.47878988603,,Unknown,Unassigned,False
,F02,SYBR,,Unkn,087-2,1340.05569864546,,Unknown,Unassigned,False
,F03,SYBR,,Unkn,087-3,1422.10430321157,,Unknown,Unassigned,False
,F04,SYBR,,Unkn,087-4,1553.38774980889,,Unknown,Unassigned,False
,F05,SYBR,,Unkn,087-5,1510.271459554,,Unknown,Unassigned,False
,F06,SYBR,,Unkn,101-1,1186.31378748054,,Unknown,Unassigned,False
,F07,SYBR,,Unkn,101-2,1137.23287835847,,Unknown,Unassigned,False
,F08,SYBR,,Unkn,101-3,1184.75080053039,,Unknown,Unassigned,False
,F09,SYBR,,Unkn,101-4,1062.53310808458,,Unknown,Unassigned,False
,F10,SYBR,,Unkn,101-5,1238.90381233719,,Unknown,Unassigned,False
,F11,SYBR,,Unkn,104-1,1327.02678731575,,Unknown,Unassigned,False
,F12,SYBR,,Unkn,104-2,1343.18956505484,,Unknown,Unassigned,False
,G01,SYBR,,Unkn,104-3,-5.03954815787811,,Unknown,Unassigned,False
,G02,SYBR,,Unkn,104-4,1222.33458079127,,Unknown,Unassigned,False
,G03,SYBR,,Unkn,104-5,1137.78753600371,,Unknown,Unassigned,False
,G04,SYBR,,Unkn,112-1,1694.39007036268,,Unknown,Unassigned,False
,G05,SYBR,,Unkn,112-2,1918.92920152466,,Unknown,Unassigned,False
,G06,SYBR,,Unkn,112-3,1876.02997852696,,Unknown,Unassigned,False
,G07,SYBR,,Unkn,112-4,1989.24086682711,,Unknown,Unassigned,False
,G08,SYBR,,Unkn,112-5,2043.0953538151,,Unknown,Unassigned,False
,G09,SYBR,,Unkn,120-1,1597.72887271468,,Unknown,Unassigned,False
,G10,SYBR,,Unkn,120-2,1398.82173303257,,Unknown,Unassigned,False
,G11,SYBR,,Unkn,120-3,1367.26753475898,,Unknown,Unassigned,False
,G12,SYBR,,Unkn,120-4,1495.32707392437,,Unknown,Unassigned,False
,H01,SYBR,,Unkn,120-5,1376.99274981384,,Unknown,Unassigned,False
,H02,SYBR,,Unkn,123-1,1395.66884687317,,Unknown,Unassigned,False
,H03,SYBR,,Unkn,123-2,1484.43671595495,,Unknown,Unassigned,False
,H04,SYBR,,Unkn,123-3,1425.30461008029,,Unknown,Unassigned,False
,H05,SYBR,,Unkn,123-4,1509.84577770224,,Unknown,Unassigned,False
,H06,SYBR,,Unkn,123-5,1375.88794604174,,Unknown,Unassigned,False
,H07,SYBR,,Unkn,125-1,1701.58311530363,,Unknown,Unassigned,False
,H08,SYBR,,Unkn,125-2,1735.73460733308,,Unknown,Unassigned,False
,H09,SYBR,,Unkn,125-3,1698.68164530075,,Unknown,Unassigned,False
,H10,SYBR,,Unkn,125-4,1601.54078436178,,Unknown,Unassigned,False
,H11,SYBR,,Unkn,125-5,1684.85465616779,,Unknown,Unassigned,False
,H12,SYBR,,Unkn,Blank,-2.89130925124191,,Unknown,Unassigned,False
