,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,,30.4934575687409,NaN
,A02,ROX,,Unkn,,22.8544179267829,NaN
,B01,ROX,,Unkn,,21.1954201911107,NaN
,B02,ROX,,Unkn,,35.4754836219274,NaN
,C01,ROX,,Unkn,,10.0045851760543,NaN
,C02,ROX,,Unkn,,14.8534325564187,NaN
,D01,ROX,,Unkn,,29.3009257450818,NaN
,D02,ROX,,Unkn,,13.4712386587447,NaN
,E01,ROX,,Unkn,,38.9116691707924,NaN
,E02,ROX,,Unkn,,33.7387165362827,NaN
,F01,ROX,,Unkn,,8.45382212740308,NaN
,F02,ROX,,Unkn,,6.88116872371054,NaN
,A01,SYBR,,Unkn,,29.5163703127592,NaN
,A02,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,28.6644810048433,NaN
,B02,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,29.205759444587,NaN
,C02,SYBR,,Unkn,,38.4259294981859,NaN
,D01,SYBR,,Unkn,,33.5941376211288,NaN
,D02,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,NaN,NaN
,E02,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,NaN,NaN
,F02,SYBR,,Unkn,,NaN,NaN
