,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,,NaN,NaN
,A02,ROX,,Unkn,,NaN,NaN
,A03,ROX,,Unkn,,NaN,NaN
,A04,ROX,,Unkn,,NaN,NaN
,A05,ROX,,Unkn,,NaN,NaN
,A06,ROX,,Unkn,,NaN,NaN
,A07,ROX,,Unkn,,NaN,NaN
,A08,ROX,,Unkn,,NaN,NaN
,B01,ROX,,Unkn,,NaN,NaN
,B02,ROX,,Unkn,,NaN,NaN
,B03,ROX,,Unkn,,NaN,NaN
,B04,ROX,,Unkn,,NaN,NaN
,A01,SYBR,,Unkn,,23.6775163597966,NaN
,A02,SYBR,,Unkn,,23.6969757544869,NaN
,A03,SYBR,,Unkn,,23.881110003606,NaN
,A04,SYBR,,Unkn,,23.3266043511508,NaN
,A05,SYBR,,Unkn,,25.5754618231257,NaN
,A06,SYBR,,Unkn,,27.04800645541,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,25.0398680638514,NaN
,B02,SYBR,,Unkn,,26.4242951712162,NaN
,B03,SYBR,,Unkn,,32.7196315747366,NaN
,B04,SYBR,,Unkn,,NaN,NaN
