,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,,18.4443027123997,NaN
,A02,ROX,,Unkn,,NaN,NaN
,A03,ROX,,Unkn,,NaN,NaN
,A04,ROX,,Unkn,,NaN,NaN
,A05,ROX,,Unkn,,21.9504444166412,NaN
,A06,ROX,,Unkn,,4.25071683909685,NaN
,A07,ROX,,Unkn,,NaN,NaN
,A08,ROX,,Unkn,,NaN,NaN
,A09,ROX,,Unkn,,NaN,NaN
,A10,ROX,,Unkn,,19.4478091673269,NaN
,B01,ROX,,Unkn,,NaN,NaN
,B02,ROX,,Unkn,,NaN,NaN
,B03,ROX,,Unkn,,16.7853384665863,NaN
,B04,ROX,,Unkn,,NaN,NaN
,B05,ROX,,Unkn,,NaN,NaN
,B06,ROX,,Unkn,,NaN,NaN
,B07,ROX,,Unkn,,NaN,NaN
,B08,ROX,,Unkn,,NaN,NaN
,B09,ROX,,Unkn,,NaN,NaN
,B10,ROX,,Unkn,,NaN,NaN
,C01,ROX,,Unkn,,NaN,NaN
,C02,ROX,,Unkn,,3.83999832908905,NaN
,C03,ROX,,Unkn,,NaN,NaN
,C04,ROX,,Unkn,,NaN,NaN
,C05,ROX,,Unkn,,1.53669725543053,NaN
,C06,ROX,,Unkn,,NaN,NaN
,C07,ROX,,Unkn,,NaN,NaN
,C08,ROX,,Unkn,,NaN,NaN
,C09,ROX,,Unkn,,NaN,NaN
,C10,ROX,,Unkn,,NaN,NaN
,D01,ROX,,Unkn,,NaN,NaN
,D02,ROX,,Unkn,,1.09071761325536,NaN
,D03,ROX,,Unkn,,18.9889277206924,NaN
,D04,ROX,,Unkn,,23.9123996656335,NaN
,D05,ROX,,Unkn,,2.58565591595433,NaN
,D06,ROX,,Unkn,,16.8073404713108,NaN
,D07,ROX,,Unkn,,NaN,NaN
,D08,ROX,,Unkn,,NaN,NaN
,D09,ROX,,Unkn,,10.9575810577893,NaN
,A01,SYBR,,Unkn,,NaN,NaN
,A02,SYBR,,Unkn,,NaN,NaN
,A03,SYBR,,Unkn,,30.388743280208,NaN
,A04,SYBR,,Unkn,,NaN,NaN
,A05,SYBR,,Unkn,,NaN,NaN
,A06,SYBR,,Unkn,,33.7997648820063,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,A09,SYBR,,Unkn,,29.2979924096191,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,NaN,NaN
,B02,SYBR,,Unkn,,NaN,NaN
,B03,SYBR,,Unkn,,25.056330207143,NaN
,B04,SYBR,,Unkn,,NaN,NaN
,B05,SYBR,,Unkn,,NaN,NaN
,B06,SYBR,,Unkn,,24.9753808936211,NaN
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,NaN,NaN
,B09,SYBR,,Unkn,,23.1514430622296,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,NaN,NaN
,C02,SYBR,,Unkn,,NaN,NaN
,C03,SYBR,,Unkn,,26.215707324394,NaN
,C04,SYBR,,Unkn,,NaN,NaN
,C05,SYBR,,Unkn,,NaN,NaN
,C06,SYBR,,Unkn,,27.2596771041387,NaN
,C07,SYBR,,Unkn,,NaN,NaN
,C08,SYBR,,Unkn,,NaN,NaN
,C09,SYBR,,Unkn,,25.0745703808946,NaN
,C10,SYBR,,Unkn,,26.9748879895552,NaN
,D01,SYBR,,Unkn,,NaN,NaN
,D02,SYBR,,Unkn,,NaN,NaN
,D03,SYBR,,Unkn,,35.1051072626099,NaN
,D04,SYBR,,Unkn,,NaN,NaN
,D05,SYBR,,Unkn,,NaN,NaN
,D06,SYBR,,Unkn,,34.7818038880263,NaN
,D07,SYBR,,Unkn,,NaN,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,31.7167325369804,NaN
