,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,ROX,,Unkn,-RT 48B,NaN,NaN
,A02,ROX,,Unkn,-RT 48B,NaN,NaN
,A03,ROX,,Unkn,-RT 77B,NaN,NaN
,A04,ROX,,Unkn,-RT 77B,NaN,NaN
,A05,ROX,,Unkn,-RT 94B,NaN,NaN
,A06,ROX,,Unkn,-RT 94B,NaN,NaN
,A07,ROX,,Unkn,Blank B,NaN,NaN
,A01,SYBR,,Unkn,-RT 48B,32.1379710948015,NaN
,A02,SYBR,,Unkn,-RT 48B,32.1954593944051,NaN
,A03,SYBR,,Unkn,-RT 77B,26.8771976687123,NaN
,A04,SYBR,,Unkn,-RT 77B,26.8692291286207,NaN
,A05,SYBR,,Unkn,-RT 94B,28.0085684158136,NaN
,A06,SYBR,,Unkn,-RT 94B,28.1048217491909,NaN
,A07,SYBR,,Unkn,Blank B,33.2957146699417,NaN
