Year,Month,Day,Precipitation
2020,3,1,0
2020,3,2,0
2020,3,3,0
2020,3,4,0
2020,3,5,0
2020,3,6,0
2020,3,7,0
2020,3,8,0.08
2020,3,9,0
2020,3,10,0
2020,3,11,0
2020,3,12,0
2020,3,13,0
2020,3,14,0
2020,3,15,0.52
2020,3,16,0.23
2020,3,17,0.05
2020,3,18,0
2020,3,19,0.01
2020,3,20,0
2020,3,21,0
2020,3,22,0
2020,3,23,0
2020,3,24,0
2020,3,25,0.16
2020,3,26,0.03
2020,3,27,0
2020,3,28,0
2020,3,29,0.04
2020,3,30,0.2
2020,3,31,0
2020,4,1,0
2020,4,2,0
2020,4,3,0
2020,4,4,0
2020,4,5,0.29
2020,4,6,0.41
2020,4,7,0.66
2020,4,8,0
2020,4,9,0
2020,4,10,0
2020,4,11,0
2020,4,12,0
2020,4,13,0
2020,4,14,0
2020,4,15,0
2020,4,16,0
2020,4,17,0
2020,4,18,0
2020,4,19,0
2020,4,20,0
2020,4,21,0
2020,4,22,0
2020,4,23,0
2020,4,24,0
2020,4,25,0
2020,4,26,0
2020,4,27,0
2020,4,28,0
2020,4,29,0
2020,4,30,0
2020,5,1,0
2020,5,2,0
2020,5,3,0
2020,5,4,0
2020,5,5,0
2020,5,6,0
2020,5,7,0
2020,5,8,0
2020,5,9,0
2020,5,10,0
2020,5,11,0
2020,5,12,0.02
2020,5,13,0
2020,5,14,0
2020,5,15,0
2020,5,16,0
2020,5,17,0.05
2020,5,18,0.14
2020,5,19,0.02
2020,5,20,0
2020,5,21,0
2020,5,22,0
2020,5,23,0
2020,5,24,0
2020,5,25,0
2020,5,26,0
2020,5,27,0
2020,5,28,0
2020,5,29,0
2020,5,30,0
2020,5,31,0.02
2019,3,1,0
2019,3,2,0.36
2019,3,3,0.6
2019,3,4,0.01
2019,3,5,0.01
2019,3,6,1.1
2019,3,7,0.37
2019,3,8,0
2019,3,9,0.02
2019,3,10,0.33
2019,3,11,0.12
2019,3,12,0
2019,3,13,0
2019,3,14,0
2019,3,15,0
2019,3,16,0
2019,3,17,0
2019,3,18,0
2019,3,19,0
2019,3,20,0.27
2019,3,21,0.29
2019,3,22,0
2019,3,23,0.41
2019,3,24,0
2019,3,25,0
2019,3,26,0.44
2019,3,27,0.07
2019,3,28,0.03
2019,3,29,0.04
2019,3,30,0
2019,3,31,0
2019,4,1,0
2019,4,2,0.03
2019,4,3,0.05
2019,4,4,0
2019,4,5,0
2019,4,6,0.07
2019,4,7,0
2019,4,8,0
2019,4,9,0.02
2019,4,10,0
2019,4,11,0
2019,4,12,0
2019,4,13,0
2019,4,14,0
2019,4,15,0
2019,4,16,0.03
2019,4,17,0
2019,4,18,0
2019,4,19,0
2019,4,20,0
2019,4,21,0
2019,4,22,0
2019,4,23,0
2019,4,24,0
2019,4,25,0
2019,4,26,0
2019,4,27,0
2019,4,28,0
2019,4,29,0
2019,4,30,0
2019,5,1,0
2019,5,2,0
2019,5,3,0
2019,5,4,0
2019,5,5,0
2019,5,6,0
2019,5,7,0
2019,5,8,0
2019,5,9,0
2019,5,10,0
2019,5,11,0
2019,5,12,0
2019,5,13,0
2019,5,14,0
2019,5,15,0
2019,5,16,0.47
2019,5,17,0.29
2019,5,18,0
2019,5,19,0.84
2019,5,20,0.28
2019,5,21,0
2019,5,22,0.06
2019,5,23,0
2019,5,24,0
2019,5,25,0
2019,5,26,0
2019,5,27,0
2019,5,28,0
2019,5,29,0
2019,5,30,0
2019,5,31,0
2018,3,1,0.5
2018,3,2,0.7
2018,3,3,0.18
2018,3,4,0.05
2018,3,5,0
2018,3,6,0
2018,3,7,0
2018,3,8,0.02
2018,3,9,0
2018,3,10,0
2018,3,11,0
2018,3,12,0
2018,3,13,0.11
2018,3,14,0.28
2018,3,15,0.06
2018,3,16,0.16
2018,3,17,0.13
2018,3,18,0
2018,3,19,0
2018,3,20,0
2018,3,21,0.45
2018,3,22,0.34
2018,3,23,0.31
2018,3,24,0.02
2018,3,25,0.12
2018,3,26,0.05
2018,3,27,0
2018,3,28,0
2018,3,29,0
2018,3,30,0
2018,3,31,0
2018,4,1,0
2018,4,2,0
2018,4,3,0
2018,4,4,0
2018,4,5,0
2018,4,6,0.36
2018,4,7,1.4
2018,4,8,0.1
2018,4,9,0
2018,4,10,0
2018,4,11,0
2018,4,12,0.22
2018,4,13,0
2018,4,14,0
2018,4,15,0
2018,4,16,0.13
2018,4,17,0.03
2018,4,18,0
2018,4,19,0
2018,4,20,0
2018,4,21,0
2018,4,22,0
2018,4,23,0
2018,4,24,0
2018,4,25,0
2018,4,26,0
2018,4,27,0
2018,4,28,0
2018,4,29,0
2018,4,30,0
2018,5,1,0
2018,5,2,0
2018,5,3,0
2018,5,4,0
2018,5,5,0
2018,5,6,0
2018,5,7,0
2018,5,8,0
2018,5,9,0
2018,5,10,0
2018,5,11,0
2018,5,12,0
2018,5,13,0
2018,5,14,0
2018,5,15,0
2018,5,16,0
2018,5,17,0
2018,5,18,0
2018,5,19,0
2018,5,20,0
2018,5,21,0
2018,5,22,0
2018,5,23,0
2018,5,24,0
2018,5,25,0
2018,5,26,0.01
2018,5,27,0
2018,5,28,0
2018,5,29,0
2018,5,30,0
2018,5,31,0
