"","jars_cw","jars_1wk","jars_2wk","jars_4wk"
"1",1,3,6,7
"2",5,25,10,20
"3",8,32,14,21
"4",9,35,17,22
"5",13,36,19,28
"6",23,38,30,29
"7",26,40,31,37
"8",27,43,42,44
"9",33,47,50,51
"10",39,52,54,53
"11",41,60,58,56
"12",46,65,63,61
"13",48,67,66,64
"14",57,72,70,68
"15",59,73,92,76
"16",69,87,98,83
"17",71,88,101,86
"18",74,89,107,110
"19",77,97,108,112
"20",78,103,113,114
"21",79,NA,NA,NA
"22",80,NA,NA,NA
"23",81,NA,NA,NA
"24",82,NA,NA,NA
"25",84,NA,NA,NA
"26",90,NA,NA,NA
"27",91,NA,NA,NA
"28",93,NA,NA,NA
"29",94,NA,NA,NA
"30",95,NA,NA,NA
"31",96,NA,NA,NA
"32",99,NA,NA,NA
"33",100,NA,NA,NA
"34",102,NA,NA,NA
"35",104,NA,NA,NA
"36",105,NA,NA,NA
"37",106,NA,NA,NA
"38",109,NA,NA,NA
"39",111,NA,NA,NA
"40",115,NA,NA,NA
