sample,date,total_auc
10000ppm_01,2022-02-14,216.24775
10000ppm_02,2022-02-14,262.33759
10000ppm_03,2022-02-14,275.736385
10000ppm_04,2022-02-14,300.32077
10000ppm_05,2022-02-14,388.1295
10000ppm_06,2022-02-14,229.66715
1000ppm_01,2022-02-14,35.149455
1000ppm_02,2022-02-14,23.345480000000002
1000ppm_03,2022-02-14,28.15394
1000ppm_04,2022-02-14,31.270295
1000ppm_05,2022-02-14,28.8741
100ppm_02,2022-02-14,2.15498
100ppm_03,2022-02-14,2.557705
100ppm_04,2022-02-14,4.813420000000001
100ppm_05,2022-02-14,4.753205
100ppm_06,2022-02-14,3.44794
100ppm,2022-02-14,28.121315
023_01,2022-02-15,137.83007
023_02,2022-02-15,154.9197
023_04,2022-02-15,90.81408
023_05,2022-02-15,161.72464
023_06,2022-02-15,173.1014
036_01,2022-02-15,162.12277
036_02,2022-02-15,158.59095
036_03,2022-02-15,164.40809
036_04,2022-02-15,163.88100000000003
036_05,2022-02-15,161.35180499999998
040_01,2022-02-15,4042.3548849999997
040_02,2022-02-15,4109.6128
040_03,2022-02-15,4136.880355
040_04,2022-02-15,5388.649425
040_05,2022-02-15,4110.275395
040_06,2022-02-15,1603.24478
046_01,2022-02-15,2655.20016
046_02,2022-02-15,2856.599155
046_03,2022-02-15,3668.86052
046_04,2022-02-15,2821.0968
046_05,2022-02-15,2681.3375
046_06,2022-02-15,2796.50985
098_01,2022-02-15,151.7166
098_02,2022-02-15,119.9812
098_03,2022-02-15,138.5313
098_04,2022-02-15,124.00165000000001
098_05,2022-02-15,121.335595
098_06,2022-02-15,133.8684
10000ppm_01,2022-02-15,298.06309999999996
10000ppm_02,2022-02-15,375.77465
10000ppm_03,2022-02-15,207.1518
10000ppm_04,2022-02-15,597.1515
10000ppm_05,2022-02-15,253.34665
10000ppm_06,2022-02-15,466.63391
10000ppm_07,2022-02-15,214.35675
1000ppm_01,2022-02-15,41.10218999999999
1000ppm_02,2022-02-15,43.102000000000004
1000ppm_03,2022-02-15,47.34485000000001
1000ppm_04,2022-02-15,42.3322
1000ppm_05,2022-02-15,45.89375
1000ppm_06,2022-02-15,45.968975
100ppm_01,2022-02-15,9.825904999999999
100ppm_02,2022-02-15,6.74503
100ppm_03,2022-02-15,10.72751
