sample_no,pre_post_wet,cc_treatment,drying_treatment
1,initial,no_cc,initial
2,pre,w_cc,two_wk
3,all_dry,no_cc,all_dry
4,pre,w_cc,two_wk
5,cw,w_cc,two_wk
6,post,no_cc,one_wk
7,pre,no_cc,one_wk
8,cw,no_cc,one_wk
9,initial,w_cc,initial
10,post,no_cc,four_wk
11,cw,w_cc,one_wk
12,post,no_cc,one_wk
13,post,no_cc,four_wk
14,all_dry,w_cc,all_dry
15,initial,no_cc,initial
16,cw,w_cc,four_wk
17,cw,w_cc,four_wk
18,post,no_cc,one_wk
19,pre,no_cc,two_wk
20,cw,w_cc,four_wk
21,pre,no_cc,four_wk
22,post,w_cc,two_wk
23,post_co2,no_cc,two_wk
24,cw,w_cc,two_wk
25,cw,no_cc,two_wk
26,cw,no_cc,one_wk
27,cw,w_cc,four_wk
28,cw,no_cc,one_wk
29,initial,w_cc,initial
30,pre,w_cc,one_wk
31,post,w_cc,one_wk
32,no_soil,no_soil,no_soil
33,post_co2,w_cc,one_wk
34,pre,w_cc,one_wk
35,pre,w_cc,four_wk
36,post_co2,no_cc,two_wk
37,cw,w_cc,two_wk
38,cw,no_cc,four_wk
39,post_co2,no_cc,four_wk
40,post_co2,w_cc,two_wk
41,post,no_cc,one_wk
42,no_soil,no_soil,no_soil
43,post,no_cc,two_wk
44,all_dry,no_cc,all_dry
45,post,w_cc,four_wk
46,post_co2,w_cc,two_wk
47,post,w_cc,two_wk
48,all_dry,w_cc,all_dry
49,post,w_cc,four_wk
50,post,no_cc,one_wk
51,pre,no_cc,one_wk
52,initial,w_cc,initial
53,post,w_cc,four_wk
54,post_co2,w_cc,four_wk
55,all_dry,no_cc,all_dry
56,pre,w_cc,one_wk
57,all_dry,no_cc,all_dry
58,all_dry,w_cc,all_dry
59,cw,w_cc,one_wk
60,cw,w_cc,one_wk
61,post,w_cc,one_wk
62,cw,no_cc,two_wk
63,all_dry,no_cc,all_dry
64,cw,no_cc,two_wk
65,pre,w_cc,two_wk
66,post_co2,no_cc,four_wk
67,cw,w_cc,one_wk
68,all_dry,w_cc,all_dry
69,pre,w_cc,four_wk
70,cw,no_cc,four_wk
71,post_co2,w_cc,four_wk
72,post_co2,w_cc,four_wk
73,cw,w_cc,one_wk
74,post,no_cc,four_wk
75,pre,no_cc,four_wk
76,initial,no_cc,initial
77,cw,w_cc,two_wk
78,no_soil,no_soil,no_soil
79,pre,w_cc,one_wk
80,pre,w_cc,four_wk
81,pre,no_cc,four_wk
82,pre,no_cc,four_wk
83,initial,no_cc,initial
84,pre,no_cc,two_wk
85,post,no_cc,two_wk
86,pre,no_cc,one_wk
87,pre,w_cc,one_wk
88,cw,no_cc,four_wk
89,cw,no_cc,two_wk
90,pre,no_cc,two_wk
91,cw,no_cc,two_wk
92,post_co2,w_cc,one_wk
93,post,no_cc,four_wk
94,post,w_cc,two_wk
95,post,w_cc,four_wk
96,post,w_cc,one_wk
97,no_soil,no_soil,no_soil
98,post_co2,no_cc,two_wk
99,post,no_cc,two_wk
100,pre,w_cc,two_wk
101,pre,no_cc,one_wk
102,post_co2,no_cc,one_wk
103,post,w_cc,one_wk
104,cw,no_cc,one_wk
105,post_co2,no_cc,one_wk
106,pre,no_cc,four_wk
107,cw,w_cc,two_wk
108,post,w_cc,four_wk
109,post,w_cc,one_wk
110,post_co2,w_cc,two_wk
111,cw,no_cc,four_wk
112,initial,w_cc,initial
113,post_co2,w_cc,one_wk
114,post,w_cc,two_wk
115,post_co2,no_cc,one_wk
116,post,no_cc,two_wk
117,pre,no_cc,two_wk
118,pre,w_cc,four_wk
119,no_soil,no_soil,no_soil
120,cw,w_cc,four_wk
121,pre,no_cc,two_wk
122,post,no_cc,two_wk
123,cw,no_cc,four_wk
124,pre,no_cc,one_wk
125,pre,w_cc,four_wk
126,post,no_cc,four_wk
127,post_co2,no_cc,four_wk
128,all_dry,w_cc,all_dry
129,cw,no_cc,one_wk
130,initial,no_cc,initial
131,pre,w_cc,two_wk
132,post,w_cc,two_wk
133,initial,w_cc,initial
