sample_no,pre_post_wet,cc_treatment,drying_treatment
2,no_soil,no_soil,no_soil
7,post,no_cc,four_wk
9,no_soil,no_soil,no_soil
11,all_dry,no_cc,all_dry
21,post,w_cc,four_wk
35,post,no_cc,four_wk
37,no_soil,no_soil,no_soil
41,all_dry,w_cc,all_dry
45,post,no_cc,four_wk
52,all_dry,no_cc,all_dry
55,all_dry,w_cc,all_dry
58,post,w_cc,four_wk
59,post,no_cc,four_wk
65,no_soil,no_soil,no_soil
68,all_dry,w_cc,all_dry
76,all_dry,w_cc,all_dry
77,no_soil,no_soil,no_soil
80,all_dry,no_cc,all_dry
82,all_dry,no_cc,all_dry
89,post,w_cc,four_wk
94,all_dry,w_cc,all_dry
96,all_dry,no_cc,all_dry
100,post,w_cc,four_wk
101,post,w_cc,four_wk
110,post,no_cc,four_wk
