sample_id,sampled_date,analyzed_date,run_or_plate_id,measurement_type,subtype,subsubtype,standard_sample_blank,tech_rep_number,std_co2_amount,std_co2_units,value,units,pre_post_wet,cc_treatment,drying_treatment,sample_type,co2_timepoint_h,notes
10000ppm,20220214,20220214,NA,licor,NA,NA,standard,1,10000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220214,20220214,NA,licor,NA,NA,standard,2,10000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220214,20220214,NA,licor,NA,NA,standard,3,10000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220214,20220214,NA,licor,NA,NA,standard,4,10000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220214,20220214,NA,licor,NA,NA,standard,5,10000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220214,20220214,NA,licor,NA,NA,standard,6,10000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220214,20220214,NA,licor,NA,NA,standard,1,1000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220214,20220214,NA,licor,NA,NA,standard,2,1000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220214,20220214,NA,licor,NA,NA,standard,3,1000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220214,20220214,NA,licor,NA,NA,standard,4,1000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220214,20220214,NA,licor,NA,NA,standard,5,1000,ppm,NA,auc,NA,NA,NA,NA,NA,NA
100ppm,20220214,20220214,NA,licor,NA,NA,standard,1,100,ppm,NA,auc,NA,NA,NA,NA,NA,NA
100ppm,20220214,20220214,NA,licor,NA,NA,standard,2,100,ppm,NA,auc,NA,NA,NA,NA,NA,NA
100ppm,20220214,20220214,NA,licor,NA,NA,standard,3,100,ppm,NA,auc,NA,NA,NA,NA,NA,NA
100ppm,20220214,20220214,NA,licor,NA,NA,standard,4,100,ppm,NA,auc,NA,NA,NA,NA,NA,NA
100ppm,20220214,20220214,NA,licor,NA,NA,standard,5,100,ppm,NA,auc,NA,NA,NA,NA,NA,NA
100ppm,20220214,20220214,NA,licor,NA,NA,standard,6,100,ppm,NA,auc,NA,NA,NA,NA,NA,NA
023,20220215,20220215,NA,licor,NA,NA,sample,1,NA,NA,3732.865536630918,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
023,20220215,20220215,NA,licor,NA,NA,sample,2,NA,NA,4282.27270783661,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
023,20220215,20220215,NA,licor,NA,NA,sample,3,NA,NA,2286.618552843752,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
023,20220215,20220215,NA,licor,NA,NA,sample,4,NA,NA,4504.077226789907,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
023,20220215,20220215,NA,licor,NA,NA,sample,5,NA,NA,4878.527369475181,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
036,20220215,20220215,NA,licor,NA,NA,sample,1,NA,NA,4517.105372151284,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
036,20220215,20220215,NA,licor,NA,NA,sample,2,NA,NA,4401.728921139763,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
036,20220215,20220215,NA,licor,NA,NA,sample,3,NA,NA,4591.996501953149,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
036,20220215,20220215,NA,licor,NA,NA,sample,4,NA,NA,4574.707253688848,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
036,20220215,20220215,NA,licor,NA,NA,sample,5,NA,NA,4491.88189811982,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
040,20220215,20220215,NA,licor,NA,NA,sample,1,NA,NA,197560.1067015663,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
040,20220215,20220215,NA,licor,NA,NA,sample,2,NA,NA,201427.0774023068,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
040,20220215,20220215,NA,licor,NA,NA,sample,3,NA,NA,202997.9793495917,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
040,20220215,20220215,NA,licor,NA,NA,sample,4,NA,NA,276922.2630389056,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
040,20220215,20220215,NA,licor,NA,NA,sample,5,NA,NA,201465.2284041079,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
040,20220215,20220215,NA,licor,NA,NA,sample,6,NA,NA,66663.88999588092,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
046,20220215,20220215,NA,licor,NA,NA,sample,1,NA,NA,120578.2575122816,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
046,20220215,20220215,NA,licor,NA,NA,sample,2,NA,NA,131391.95932009525,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
046,20220215,20220215,NA,licor,NA,NA,sample,3,NA,NA,176294.8784849231,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
046,20220215,20220215,NA,licor,NA,NA,sample,4,NA,NA,129475.77196376985,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
046,20220215,20220215,NA,licor,NA,NA,sample,5,NA,NA,121973.79068649054,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
046,20220215,20220215,NA,licor,NA,NA,sample,6,NA,NA,128151.19157028622,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
098,20220215,20220215,NA,licor,NA,NA,sample,1,NA,NA,4178.452180060459,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
098,20220215,20220215,NA,licor,NA,NA,sample,2,NA,NA,3171.669968331018,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
098,20220215,20220215,NA,licor,NA,NA,sample,3,NA,NA,3755.1851311488217,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
098,20220215,20220215,NA,licor,NA,NA,sample,4,NA,NA,3296.880873160001,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
098,20220215,20220215,NA,licor,NA,NA,sample,5,NA,NA,3213.7699213059736,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
098,20220215,20220215,NA,licor,NA,NA,sample,6,NA,NA,3607.1436920934407,auc,post_co2,no_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,1,10000,ppm,9237.01964386408,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,2,10000,ppm,12126.387160905288,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,3,10000,ppm,6024.250749833174,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,4,10000,ppm,20894.63733014809,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,5,10000,ppm,7631.409034606785,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,6,10000,ppm,15639.128530790957,auc,NA,NA,NA,NA,NA,NA
10000ppm,20220215,20220215,NA,licor,NA,NA,standard,7,10000,ppm,6271.130366891122,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220215,20220215,NA,licor,NA,NA,standard,1,1000,ppm,901.0546198302368,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220215,20220215,NA,licor,NA,NA,standard,2,1000,ppm,952.7709381868968,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220215,20220215,NA,licor,NA,NA,standard,3,1000,ppm,1063.8689377034343,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220215,20220215,NA,licor,NA,NA,standard,4,1000,ppm,932.8126994147372,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220215,20220215,NA,licor,NA,NA,standard,5,1000,ppm,1025.6680835194643,auc,NA,NA,NA,NA,NA,NA
1000ppm,20220215,20220215,NA,licor,NA,NA,standard,6,1000,ppm,1027.6432894342645,auc,NA,NA,NA,NA,NA,NA
100ppm,20220215,20220215,NA,licor,NA,NA,standard,1,100,ppm,167.7532518215328,auc,NA,NA,NA,NA,NA,NA
100ppm,20220215,20220215,NA,licor,NA,NA,standard,2,100,ppm,107.82881708605466,auc,NA,NA,NA,NA,NA,NA
100ppm,20220215,20220215,NA,licor,NA,NA,standard,3,100,ppm,185.97680879690984,auc,NA,NA,NA,NA,NA,NA
100ppm,20220215,20220215,NA,licor,NA,NA,standard,4,100,ppm,50.15283429344357,auc,NA,NA,NA,NA,NA,NA
100ppm,20220215,20220215,NA,licor,NA,NA,standard,5,100,ppm,105.50110135143676,auc,NA,NA,NA,NA,NA,NA
100ppm,20220215,20220215,NA,licor,NA,NA,standard,6,100,ppm,59.28532847050646,auc,NA,NA,NA,NA,NA,NA
110,20220215,20220215,NA,licor,NA,NA,sample,1,NA,NA,354045.1607785087,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
110,20220215,20220215,NA,licor,NA,NA,sample,2,NA,NA,403365.7729489067,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
110,20220215,20220215,NA,licor,NA,NA,sample,3,NA,NA,383012.3158444448,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
110,20220215,20220215,NA,licor,NA,NA,sample,4,NA,NA,461221.7964253353,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
110,20220215,20220215,NA,licor,NA,NA,sample,5,NA,NA,427677.06128304434,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
110,20220215,20220215,NA,licor,NA,NA,sample,6,NA,NA,553551.9023911561,auc,post_co2,w_cc,initial,co2_only,24,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,1,NA,NA,2328.895355028659,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,2,NA,NA,3194.9087414039836,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,3,NA,NA,2388.7622466761295,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,4,NA,NA,3361.627703904851,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,5,NA,NA,2499.924302333909,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,6,NA,NA,3798.6922336972407,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
023,20220216,20220216,NA,licor,NA,NA,sample,7,NA,NA,4038.170748494641,auc,post_co2,no_cc,initial,co2_only,48,"used drying two_wk, post_co2 jars"
