jars_cw_no,jar_all_soil_50,jar_soil_50_cc
1,576.27,
5,570.07,582.63
8,580.67,
9,579.24,592.01
13,573.49,586.28
23,572.12,
26,578.65,589.73
27,571.91,
33,569.43,
39,574.43,
41,572.96,
46,572.62,584.39
48,577.81,588.77
57,574.11,584.26
59,572.39,
69,573.99,
71,574.29,
74,577.04,
77,575.7,586.9
78,557.93,569.29
79,573.48,584.53
80,583.55,
81,576.68,588.68
82,566.85,577.11
84,576.89,
90,578.19,589.03
91,568.19,579.1
93,574.02,
94,573.07,583.57
95,571.62,582.53
96,571.64,
99,580.04,590.64
100,572.88,
102,573.56,
104,553.95,566.78
105,572.87,
106,570.85,
109,573.43,584.28
111,568.91,
115,578.03,
