Sheet 1: w_cc
,jar_w_cc
1,2
2,5
3,6
4,9
5,12
6,13
7,16
8,19
9,21
10,22
11,26
12,30
13,33
14,35
15,36
16,37
17,38
18,40
19,42
20,46
21,48
22,53
23,56
24,57
25,58
26,61
27,62
28,63
29,65
30,66
31,67
32,68
33,72
34,75
35,76
36,77
37,78
38,79
39,81
40,82
41,87
42,88
43,90
44,91
45,94
46,95
47,98
48,99
49,103
50,104
51,107
52,109
53,110
54,112
55,113

Sheet 1: no_cc
,jar_no_cc
1,1
2,3
3,4
4,7
5,8
6,10
7,11
8,14
9,15
10,17
11,18
12,20
13,23
14,25
15,27
16,28
17,29
18,31
19,32
20,39
21,41
22,43
23,44
24,47
25,49
26,50
27,51
28,52
29,54
30,59
31,60
32,64
33,69
34,70
35,71
36,73
37,74
38,80
39,83
40,84
41,86
42,89
43,92
44,93
45,96
46,97
47,100
48,101
49,102
50,105
51,106
52,108
53,111
54,114
55,115

Sheet 1: no_soil_controls
,no_soil_controls
1,24
2,34
3,45
4,55
5,85
